bucket,codice,denominazione,termini_processuali,source_files
codex_curated_completion,110000,Altre ipotesi di cui al comma 3 art. 3 L.46/2017,3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110011,"Diritti della personalita (anche della persona giuridica) (es.: identita personale, nome, immagine, onore e reputazione, riservatezza)",3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110021,Diritti di elettorato attivo e passivo,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110022,Diritti della cittadinanza,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110023,Riconoscimento dello stato di apolidia,3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110033,Riconoscimento diritto di soggiorno cittadini UE (art. 8. Dlgs 30/2007),3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110034,Impugnazione provvedimento di allontanamento ex art. 20 e 21 D.Lgs 30/2007,5,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110035,Impugnazioni Unita' Dublino UE 604/2013,5,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110036,Convalida del provvedimento di trattenimento o proroga del trattenimento,3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110037,Ricongiungimento familiare (art.30),3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110038,Impugnazione avverso diniego/revoca di rilascio/rinnovo permesso di soggiorno,5,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110039,Impugnazione avverso diniego di visto di ingresso per motivi di ricongiungimento familiare da parte dell’autorita' consolare,5,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110040,Impugnazione diniego protezione umanitaria da parte del Questore,5,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110041,Convalida del provvedimento del questore di accompagnamento immediato alla frontiera,3,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110044,Reclamo avverso diniego sospensione provvedimento,5,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110045,Convalida dei provvedimenti di trattenimento per i cittadini comunitari,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,110999,Altri istituti relativi allo stato della persona ed ai diritti della personalita,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111003,Separazione consensuale e divorzio congiunto (Cessazione effetti civili),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111004,Separazione consensuale e divorzio congiunto (Scioglimento matrimonio),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111005,Modifica delle condizioni di separazione (contenzioso),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111010,Modifica delle condizioni di separazione (ricorso congiunto),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111011,Divorzio congiunto,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111013,Modifica delle condizioni di divorzio (contenzioso),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111014,Modifica delle condizioni di divorzio (ricorso congiunto),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111021,Divorzio congiunto - Scioglimento matrimonio,7,kb_03_persone_famiglia_minori.json;kb_98_top9_set2_parte1.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111022,Divorzio contenzioso - Scioglimento matrimonio,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111023,Separazione giudiziale e divorzio congiunto (Cessazione effetti civili),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111024,Separazione giudiziale e divorzio contenzioso (Cessazione effetti civili),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111101,Filiazione legittima,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111102,Filiazione naturale,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111104,Attuazione dei provvedimenti sull'affidamento,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111105,Dichiarazione giudiziale di paternità e maternità naturale - ammissibilita',3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111106,Regolamentazione dell'esercizio della responsabilità genitoriale (contenzioso),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111107,Regolamentazione dell'esercizio della responsabilità genitoriale (ricorso congiunto),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111108,Modifica condizioni regolamentaz. esercizio responsabilità genitoriale (contenzioso),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111109,Modifica condizioni regolamentaz. esercizio responsabilità genitoriale (ricorso congiunto),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111110,Azione di dichiarazione giudiziale di paternità o maternità riguardante minori (art.274 Cod. Civ.) (contenzioso),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111111,Impugnazione di riconoscimento di paternità o maternità riguardante minori (artt.74 e 264 Cod. Civ.) (contenzioso),5,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111201,Matrimonio (promessa di matrimonio ex artt. 79-81 c.c. - opposizione al matrimonio ex artt. 102 - 104 c.c. - impugnazione del matrimonio ex artt. 117 e ss. c.c.),5,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111211,Regime Patrimoniale: della famiglia ex artt. 159 e ss. c.c.,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111212,Regime Patrimoniale della famiglia di fatto,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111213,Attribuzione di quota di pensione e di indennità di fine rapporto lavorativo,4,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111214,Fondo patrimoniale (artt. 167 e ss. c.c.),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111215,Sostituzione dell'amministratore del patrimonio familiare,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111216,Sequestro dei beni del coniuge separato (art. 156 c.c.),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111217,Fondo di solidarietà a tutela del coniuge in stato di bisogno,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111401,Mutamento di sesso,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111402,Stato civile (rettifica del nome e altri atti dello Stato civile),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111403,Dichiarazione di assenza o di morte presunta (COLLEGIO),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111404,Adozione di maggiorenni,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111501,Esecutorieta sentenza Sacra Rota nullita di matrimonio (L. 121/85),3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111502,Accertamento dei requisiti sentenza straniera di divorzio (art. 67 L. 218/95),3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111503,Istanza per la nomina del curatore speciale del minore,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111504,"Matrimonio (pubbl.ni matrimoniali ex artt. 93 e ss. cc, nulla osta al matrim.)",3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111601,Misure di protezione contro gli abusi familiari (art. 473 bis.71 c.p.c.),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111602,"Ricorso per violenza domestica o di genere ex artt. 473 bis.40, 473 bis. 41, 73 bis.42",3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111604,Istanza per la nomina del curatore speciale del minore,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,111999,"Altri istituti di diritto di famiglia (es.: mantenimento figli naturali e legittimi, etc.)",3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112001,Deprecato per iscrizione in secondo grado - Interdizione di minori,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
